fid,production
414,2145.10008607204
415,2404.5634522472
416,2435.71975402895
417,2415.04542021615
418,1670.62713515248
419,2049.72303730069
420,2417.56109252962
421,2051.85816546518
422,2040.18884356966
423,2259.43082493026
424,2227.15190281949
425,2132.08184125384
426,1350.92469188117
427,2399.16805616654
428,2250.49295591174
429,2131.70716149719
430,2351.96416024378
431,2259.43082492956
432,2134.30972196636
433,2237.89161243855
434,2131.70716149784
435,2059.22298988103
436,2268.8694356217
437,2417.56109252888
438,2446.52005727509
439,2044.11405827287
440,2430.36296558447
441,2222.63444148553
442,2406.54367827988
443,2268.86943562172
444,2208.59956125894
445,2397.43571402708
446,1150.70454306799
447,2283.6813297844
448,2410.0140755907
449,2104.92630197607
450,2276.09434862231
451,2104.92630197607
452,2415.18900326108
453,2329.41295776003
454,2102.27256319103
455,2264.13790066915
456,2149.22714441973
457,1357.86904798667
458,2263.29333335088
459,2108.85588019541
460,2288.69505426392
461,2151.76649700897
462,4383.44832796394
463,2120.76015559063
464,2278.40657975531
465,2112.80463191918
466,1982.16455394501
467,2118.61079543932
468,2145.10008607204
469,2124.76718017713
470,8810.30377957625
471,2145.1000860727
472,2365.91040275469
473,2056.55906566912
474,2145.10008607204
475,2435.09847247858
476,2513.84336600886
477,6815.49312395925
478,2485.82410656685
479,2675.11418411139
480,2657.67226190208
481,2446.52005727583
482,2291.22158526307
483,2112.80463191983
484,2138.76548338943
485,2662.48256993446
486,2640.31830296231
487,2232.15775701265
488,2508.6116420429
489,2299.57756725567
490,2395.64638951455
491,2621.57013086187
492,6479.94050766824
493,2255.03802342713
494,2428.70047728685
495,2120.76015559129
496,1999.70455320953
497,2364.95262045777
498,2443.50685259929
499,2485.25473505701
500,2502.31346813253
501,2474.03688470863
502,2457.43743687259
503,2502.31346813256
504,2474.03688470941
505,1993.42276485811
506,1685.0350846954
507,2440.55259361799
508,2036.94027768816
509,2443.09748683269
510,2479.63050195208
511,2482.66862190841
512,2275.87858357604
513,2139.84514818576
514,1805.76168375186
515,2218.75005523405
516,5244.22028056107
517,8290.62132105279
518,9692.14016672862
519,12062.9743387316
520,11909.1321914258
521,12273.9115949323
522,11957.5057106334
523,12164.7598272677
524,12299.962580761
525,10770.9836445324
526,12429.2111278648
527,11404.0235790366
528,6318.82223812256
529,12019.3116119416
530,9429.44624303203
531,12524.3995866612
532,12176.8970213863
533,11386.1076466897
534,11658.2746397176
535,11580.2789825304
536,10584.8793488925
